Sale Date,Reciept Id,Customer ID,Customer First Name,Customer Surname,Staff ID,Staff First Name,Staff Surname,Staff office,Office Location,Reciept Transaction Row ID,Item ID,Item Description,Item Quantity,Item Price,Row Total
3/01/2021,60001,C34,Taylor,Diaz,N104,Bailey,Hill,1,Newcastle,4,19,Drill Bit 2 mm,10,3,30
3/01/2021,60001,C34,Taylor,Diaz,N104,Bailey,Hill,1,Newcastle,1,26,Drill Bit 9 mm,3,3.75,11.25
3/01/2021,60001,C34,Taylor,Diaz,N104,Bailey,Hill,1,Newcastle,2,27,Drill Bit 10 mm,10,4,40
3/01/2021,60001,C34,Taylor,Diaz,N104,Bailey,Hill,1,Newcastle,3,29,Drill Driver Flat Head,6,4.45,26.7
4/01/2021,60002,C2,Zach,Murphy,N104,Bailey,Hill,1,Newcastle,1,3,Axe,10,18.95,189.5
4/01/2021,60002,C2,Zach,Murphy,N104,Bailey,Hill,1,Newcastle,6,4,Box of Nails,1,10.95,10.95
4/01/2021,60002,C2,Zach,Murphy,N104,Bailey,Hill,1,Newcastle,4,5,Tape Measure,3,8.95,26.85
4/01/2021,60002,C2,Zach,Murphy,N104,Bailey,Hill,1,Newcastle,2,12,Glue,4,3.95,15.8
4/01/2021,60002,C2,Zach,Murphy,N104,Bailey,Hill,1,Newcastle,5,15,Picture Hook,9,8.95,80.55
4/01/2021,60002,C2,Zach,Murphy,N104,Bailey,Hill,1,Newcastle,7,22,Drill Bit 5 mm,10,3.25,32.5
4/01/2021,60002,C2,Zach,Murphy,N104,Bailey,Hill,1,Newcastle,3,28,Drill Driver Phillips head,4,4.45,17.8
8/01/2021,60003,C41,Kate,Gonzalez,N104,Bailey,Hill,1,Newcastle,1,13,Ruler,10,21.9,219
9/01/2021,60004,C41,Kate,Gonzalez,N104,Bailey,Hill,1,Newcastle,3,16,Socket Set,8,79.95,639.6
9/01/2021,60004,C41,Kate,Gonzalez,N104,Bailey,Hill,1,Newcastle,6,17,Punch,1,12,12
9/01/2021,60004,C41,Kate,Gonzalez,N104,Bailey,Hill,1,Newcastle,2,19,Drill Bit 2 mm,10,3,30
9/01/2021,60004,C41,Kate,Gonzalez,N104,Bailey,Hill,1,Newcastle,1,25,Drill Bit 8 mm,8,3.75,30
9/01/2021,60004,C41,Kate,Gonzalez,N104,Bailey,Hill,1,Newcastle,4,25,Drill Bit 8 mm,10,3.75,37.5
